Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative_Humidity,zenith_deg,azimuth_deg
2024,7,9,4,0,0,0,0,96.7,107.81175101073356,50.54765051923766
2024,7,9,4,30,0,0,0,96.7,102.58904782263859,55.2839637221478
2024,7,9,5,0,0,0,0,96.59,97.07274791479858,59.55818781196956
2024,7,9,5,30,0,0,0,95.46000000000001,91.31970054579371,63.4504165686169
2024,7,9,6,0,30,50,34,94.74,85.20607698368921,67.03417086424105
2024,7,9,6,30,76,175,109,92.64,79.19278579719304,70.37651406200587
2024,7,9,7,0,113,301,201,88.4,72.99895808491766,73.53979353007821
2024,7,9,7,30,142,399,300,85.38,66.68970333348706,76.58456791248733
2024,7,9,8,0,164,480,402,78.17,60.29451550197229,79.57387546358581
2024,7,9,8,30,182,541,501,75.08,53.83449804042063,82.57970893995389
2024,7,9,9,0,195,592,597,70.24,47.32790843790036,85.69380888502775
2024,7,9,9,30,207,629,683,67.88,40.79301425913924,89.04768888627035
2024,7,9,10,0,223,648,758,65.66,34.25148034650555,92.85412498899512
2024,7,9,10,30,231,670,824,64.2,27.735044299802347,97.50418665587
2024,7,9,11,0,444,211,641,63.5,21.3030816263186,103.82963692876507
2024,7,9,11,30,417,284,692,62.72,15.101960092270772,113.95184762364886
2024,7,9,12,0,473,137,609,63.230000000000004,9.631158820880117,134.48735886862045
2024,7,9,12,30,439,175,612,63.230000000000004,6.953399053710839,180.67977535975947
2024,7,9,13,0,41,0,41,64.01,9.746443964126456,226.21131940816727
2024,7,9,13,30,82,0,82,63.95,15.249306791368667,246.3311619223121
2024,7,9,14,0,153,0,154,65.04,21.460198045267546,256.311639872516
2024,7,9,14,30,236,0,236,65.78,27.89642689251714,262.5784901233287
2024,7,9,15,0,128,1,128,66.85,34.41536257697252,267.1997860011046
2024,7,9,15,30,210,0,210,68.38,40.95873558370882,270.99042113086944
2024,7,9,16,0,134,0,134,70.3,47.49521573114633,274.33503834643864
2024,7,9,16,30,327,132,405,72.32000000000001,54.00330762311248,277.4435998797332
2024,7,9,17,0,182,3,184,73.88,60.46481227655245,280.4462690287962
2024,7,9,17,30,184,14,189,76.01,66.86147807201255,283.4341118030754
2024,7,9,18,0,153,62,171,78.3,73.1721224766035,286.47879880154665
2024,7,9,18,30,31,0,31,80.59,79.36689650614618,289.6432572938544
2024,7,9,19,0,35,3,36,82.83,85.37828426856127,292.9880832632248
2024,7,9,19,30,0,0,0,84.77,91.49835004796799,296.5757840951181
2024,7,9,20,0,0,0,0,85.5,97.25278694558327,300.47370028575756
2024,7,9,20,30,0,0,0,87.01,102.7701105670972,304.7557472794984
2024,7,9,21,0,0,0,0,87.4,107.99321968411672,309.5025229832421
2024,7,9,21,30,0,0,0,88.95,112.85114988761579,314.79865698209176
2024,7,9,22,0,0,0,0,88.85000000000001,117.25702950719548,320.7255221776799
2024,7,9,22,30,0,0,0,89.37,121.10759982507388,327.34695107377297
2024,7,9,23,0,0,0,0,89.44,124.28617432455735,334.6864499858485
2024,7,9,23,30,0,0,0,89.97,126.6713274692089,342.69833412540925
2024,7,10,0,0,0,0,0,90.78,128.15262767009486,351.24306087573837
2024,7,10,0,30,0,0,0,91.31,128.6513014886968,0.08461858432701774
2024,7,10,1,0,0,0,0,92.66,128.13882798377654,8.924220851524865
2024,7,10,1,30,0,0,0,93.12,126.64447789810325,17.46355041321283
2024,7,10,2,0,0,0,0,94.35000000000001,124.24758044311186,25.46777002934266
2024,7,10,2,30,0,0,0,94.9,121.05883939931084,32.7987102483587
2024,7,10,3,0,0,0,0,96.32000000000001,117.19970020591724,39.41183666862082
2024,7,10,3,30,0,0,0,96.41,112.78670809823558,45.33142115397186
2024,7,10,4,0,0,0,0,97.19,107.92290978486417,50.6217135415435
2024,7,10,4,30,0,0,0,97.19,102.69495683276011,55.364270107902826
2024,7,10,5,0,0,0,0,98.33,97.17361669009313,59.64378456221203
2024,7,10,5,30,0,0,0,96.05,91.41582898930345,63.54088423485308
2024,7,10,6,0,29,17,30,96.69,85.29532756257017,67.12953645085094
2024,7,10,6,30,80,128,104,93.36,79.27986403138334,70.47719958864616
2024,7,10,7,0,143,9,146,92.9,73.08278096841603,73.64660522746522
2024,7,10,7,30,158,5,160,87.68,66.77044163250113,76.69873103654561
2024,7,10,8,0,275,51,301,80.42,60.372550648181765,79.69712555344915
2024,7,10,8,30,338,136,418,76.82000000000001,53.91031858315198,82.71446238837655
2024,7,10,9,0,314,348,549,70.14,47.40212968983422,85.84345776709563
2024,7,10,9,30,305,484,672,67.8,40.86645534643804,89.21710565987081
2024,7,10,10,0,350,393,675,63.76,34.32532181234878,93.05053432662464
2024,7,10,10,30,438,162,581,62.35,27.811153838456967,97.73864374316929
2024,7,10,11,0,421,301,701,59.51,21.384743769020417,104.11900056873736
2024,7,10,11,30,436,254,681,58.46,15.195607996418701,114.31533730679462
2024,7,10,12,0,422,23,445,56.21,9.748848005205318,134.86190509803862
